Survey Start Date,Gasoline,E85,CNG,LNG,Propane*,Diesel,B20,B2/B5,B99/B100,Electricity**
4/10/2000,$1.52 ,$1.80 ,$0.89 ,,$1.62 ,$1.29 ,,,,
10/9/2000,$1.54 ,$1.90 ,$1.02 ,,$1.76 ,$1.46 ,,,,
6/4/2001,$1.68 ,$1.85 ,$1.30 ,,$1.72 ,$1.37 ,,,,
10/22/2001,$1.27 ,$1.60 ,$1.19 ,,$1.62 ,$1.19 ,$1.35 ,,,
2/11/2002,$1.11 ,$1.54 ,$1.09 ,,$1.62 ,$1.04 ,$1.18 ,,,
4/15/2002,$1.40 ,$1.80 ,$1.07 ,,$1.95 ,$1.19 ,$1.28 ,,,
7/22/2002,$1.41 ,$1.81 ,$1.20 ,,$1.55 ,$1.18 ,$1.39 ,,,
10/28/2002,$1.44 ,$1.71 ,$1.17 ,,$1.66 ,$1.35 ,$1.47 ,,,
2/3/2003,$1.61 ,$1.86 ,$1.20 ,,$2.09 ,$1.50 ,$1.57 ,,,
12/1/2003,$1.48 ,$1.70 ,$1.35 ,,$2.21 ,$1.34 ,$1.60 ,,,
3/3/2004,$1.74 ,$1.84 ,$1.40 ,,$2.48 ,$1.47 ,$1.61 ,,,
6/14/2004,$1.99 ,$2.28 ,$1.40 ,,$2.13 ,$1.55 ,$1.89 ,,,
11/15/2004,$1.97 ,$2.30 ,$1.56 ,,$2.91 ,$1.93 ,$2.05 ,,,
3/21/2005,$2.11 ,$2.29 ,$1.56 ,,$2.65 ,$2.03 ,$2.11 ,,,
9/1/2005,$2.77 ,$3.21 ,$2.12 ,,$3.50 ,$2.54 ,$2.67 ,$2.54 ,$3.30 ,
1/1/2006,$2.23 ,$2.65 ,$1.99 ,,$2.71 ,$2.32 ,$2.42 ,$2.23 ,$3.14 ,
5/24/2006,$2.84 ,$3.24 ,$1.90 ,,$2.85 ,$2.69 ,$2.68 ,$2.69 ,$3.65 ,
9/4/2006,$2.22 ,$2.81 ,$1.77 ,,$3.18 ,$2.37 ,$2.43 ,$2.49 ,$3.21 ,
2/21/2007,$2.30 ,$2.79 ,$1.94 ,,$3.58 ,$2.37 ,$2.32 ,$2.36 ,$3.22 ,
7/3/2007,$3.03 ,$3.50 ,$2.10 ,,$3.53 ,$2.67 ,$2.71 ,$2.57 ,$3.17 ,
10/2/2007,$2.76 ,$3.20 ,$1.77 ,,$3.75 ,$2.81 ,$2.82 ,$2.71 ,$3.28 ,
1/21/2008,$2.99 ,$3.55 ,$1.93 ,,$4.31 ,$3.05 ,$3.08 ,$2.98 ,$3.63 ,
4/1/2008,$3.43 ,$4.06 ,$2.04 ,,$4.36 ,$3.71 ,$3.63 ,$3.59 ,$4.24 ,
7/21/2008,$3.91 ,$4.62 ,$2.34 ,,$4.34 ,$4.22 ,$4.25 ,$4.21 ,$4.81 ,
10/2/2008,$3.04 ,$3.99 ,$2.01 ,,$4.67 ,$3.27 ,$3.69 ,$3.45 ,$4.59 ,
1/12/2009,$1.86 ,$2.56 ,$1.63 ,,$3.77 ,$2.19 ,$2.43 ,$2.20 ,$3.42 ,
4/1/2009,$2.02 ,$2.66 ,$1.64 ,,$3.56 ,$2.04 ,$2.27 ,$2.05 ,$3.22 ,
7/20/2009,$2.44 ,$3.01 ,$1.73 ,,$3.43 ,$2.27 ,$2.45 ,$2.29 ,$3.03 ,
10/16/2009,$2.64 ,$3.21 ,$1.86 ,,$3.72 ,$2.50 ,$2.63 ,na,$3.14 ,
1/19/2010,$2.65 ,$3.36 ,$1.85 ,,$4.13 ,$2.57 ,$2.70 ,na,$3.54 ,
4/2/2010,$2.84 ,$3.42 ,$1.90 ,,$3.99 ,$2.71 ,$2.85 ,na,$3.52 ,
7/12/2010,$2.71 ,$3.25 ,$1.91 ,,$4.01 ,$2.65 ,$2.79 ,na,$3.69 ,
10/4/2010,$2.78 ,$3.45 ,$1.93 ,,$3.93 ,$2.75 ,$2.86 ,na,$3.76 ,
1/24/2011,$3.08 ,$3.89 ,$1.93 ,,$4.22 ,$3.09 ,$3.19 ,na,$3.99 ,$1.35 
4/1/2011,$3.69 ,$4.52 ,$2.06 ,,$4.41 ,$3.62 ,$3.69 ,na,$4.26 ,$1.43 
7/14/2011,$3.68 ,$4.60 ,$2.07 ,,$4.26 ,$3.54 ,$3.67 ,na,$4.13 ,$1.47 
9/30/2011,$3.46 ,$4.51 ,$2.09 ,,$4.23 ,$3.42 ,$3.57 ,na,$4.12 ,$1.46 
1/13/2012,$3.37 ,$4.44 ,$2.13 ,,$4.26 ,$3.46 ,$3.61 ,na,$4.14 ,$1.37 
3/30/2012,$3.89 ,$4.90 ,$2.08 ,,$4.02 ,$3.69 ,$3.82 ,na,$4.29 ,$1.43 
7/13/2012,$3.52 ,$4.58 ,$2.05 ,,$3.64 ,$3.36 ,$3.50 ,na,$4.16 ,$1.44 
9/28/2012,$3.82 ,$4.91 ,$2.12 ,,$3.54 ,$3.70 ,$3.82 ,na,$4.32 ,$1.43 
1/10/2013,$3.29 ,$4.48 ,$2.10 ,,$3.70 ,$3.55 ,$3.70 ,na,$4.37 ,$1.36 
3/29/2013,$3.59 ,$4.66 ,$2.10 ,,$3.77 ,$3.58 ,$3.75 ,na,$4.23 ,$1.41 
7/12/2013,$3.65 ,$4.57 ,$2.14 ,,$3.77 ,$3.50 ,$3.55 ,na,$4.13 ,$1.49 
10/4/2013,$3.45 ,$4.30 ,$2.09 ,,$4.09 ,$3.51 ,$3.67 ,na,$4.12 ,$1.45 
1/1/2014,$3.34 ,$4.29 ,$2.09 ,,$4.31 ,$3.49 ,$3.62 ,na,$4.22 ,$1.36 
4/1/2014,$3.65 ,$4.82 ,$2.15 ,,$4.57 ,$3.56 ,$3.66 ,na,$4.17 ,$1.43 
7/1/2014,$3.70 ,$4.56 ,$2.17 ,,$4.24 ,$3.51 ,$3.63 ,na,$4.18 ,$1.51 
10/1/2014,$3.34 ,$4.07 ,$2.16 ,,$4.25 ,$3.38 ,$3.48 ,na,$4.15 ,$1.46 
1/1/2015,$2.30 ,$3.12 ,$2.11 ,,$4.04 ,$2.75 ,$2.90 ,na,$3.96 ,$1.41 
4/1/2015,$2.42 ,$2.77 ,$2.09 ,,$4.01 ,$2.56 ,$2.62 ,na,$3.69 ,$1.47 
7/1/2015,$2.82 ,$3.07 ,$2.12 ,,$3.97 ,$2.61 ,$2.63 ,na,$3.48 ,$1.49 
10/1/2015,$2.35 ,$2.84 ,$2.09 ,,$3.97 ,$2.30 ,$2.39 ,na,$3.33 ,$1.47 
1/1/2016,$1.98 ,$2.42 ,$2.09 ,,$3.91 ,$1.99 ,$2.17 ,na,$3.15 ,$1.39 
4/1/2016,$2.06 ,$2.39 ,$2.02 ,,$3.79 ,$1.90 ,$2.01 ,na,$2.76 ,$1.43 
7/1/2016,$2.26 ,$2.59 ,$2.05 ,$2.41 ,$3.79 ,$2.19 ,$2.28 ,na,$2.97 ,$1.45 
10/1/2016,$2.22 ,$2.51 ,$2.06 ,$2.43 ,$3.67 ,$2.21 ,$2.21 ,na,$3.12 ,$1.41 
1/1/2017,$2.32 ,$2.65 ,$2.11 ,$2.53 ,$3.84 ,$2.30 ,$2.32 ,na,$2.99 ,$1.38 
4/1/2017,$2.38 ,$2.74 ,$2.15 ,$2.52 ,$3.87 ,$2.27 ,$2.24 ,na,$3.03 ,$1.43 
7/1/2017,$2.26 ,$2.58 ,$2.15 ,$2.52 ,$3.89 ,$2.20 ,$2.24 ,na,$3.15 ,$1.47 
10/1/2017,$2.49 ,$2.73 ,$2.17 ,$2.60 ,$3.82 ,$2.46 ,$2.41 ,na,$3.31 ,$1.43 
1/1/2018,$2.50 ,$2.68 ,$2.17 ,$2.66 ,$3.88 ,$2.63 ,$2.55 ,na,$3.41 ,$1.35 
4/1/2018,$2.67 ,$2.87 ,$2.18 ,$2.57 ,$3.87 ,$2.70 ,$2.59 ,na,$3.39 ,$1.41 
7/1/2018,$2.88 ,$3.05 ,$2.22 ,$2.60 ,$3.85 ,$2.89 ,$2.75 ,na,$3.48 ,$1.43 
10/1/2018,$2.91 ,$3.10 ,$2.19 ,$2.64 ,$3.93 ,$2.99 ,$2.78 ,na,$3.57 ,$1.39 
1/1/2019,$2.27 ,$2.59 ,$2.19 ,$2.71 ,$3.99 ,$2.65 ,$2.52 ,na,$3.50 ,$1.36 
4/1/2019,$2.76 ,$3.00 ,$2.22 ,$2.38 ,$3.97 ,$2.75 ,$2.59 ,na,$3.44 ,$1.43 
7/1/2019,$2.76 ,$3.06 ,$2.21 ,$2.46 ,$3.87 ,$2.71 ,$2.58 ,na,$3.55 ,$1.42 
10/1/2019,$2.68 ,$2.97 ,$2.20 ,$2.40 ,$3.79 ,$2.74 ,$2.58 ,na,$3.65 ,$1.37 
1/1/2020,$2.59 ,$2.96 ,$2.18 ,$2.47 ,$3.82 ,$2.71 ,$2.60 ,na,$3.65 ,$1.35 
4/1/2020,$1.91 ,$2.28 ,$2.19 ,$2.43 ,$3.74 ,$2.33 ,$2.13 ,na,$3.44 ,$1.42 
7/1/2020,$2.22 ,$2.58 ,$2.15 ,$2.40 ,$3.75 ,$2.20 ,$2.11 ,na,$3.08 ,$1.40 
10/1/2020,$2.18 ,$2.54 ,$2.18 ,$2.42 ,$3.74 ,$2.13 ,$2.06 ,na,$3.26 ,$1.44 
1/1/2021,$2.32 ,$2.65 ,$2.19 ,$2.45 ,$3.90 ,$2.35 ,$2.18 ,na,$3.11 ,$1.33 
4/1/2021,$2.82 ,$3.12 ,$2.19 ,$2.39 ,$4.01 ,$2.77 ,$2.53 ,na,$3.49 ,$1.42 
7/1/2021,$3.09 ,$3.40 ,$2.22 ,$2.54 ,$4.08 ,$2.90 ,$2.74 ,na,$3.56 ,$1.40 
10/1/2021,$3.25 ,$3.55 ,$2.33 ,$2.45 ,$4.34 ,$3.10 ,$2.96 ,na,$3.73 ,$1.40 
1/1/2022,$3.28 ,$3.87 ,$2.49 ,$2.69 ,$4.69 ,$3.22 ,$3.08 ,na,$3.88 ,$1.34 
4/1/2022,$4.13 ,$4.60 ,$2.59 ,$2.82 ,$4.83 ,$4.50 ,$4.16 ,na,$4.96 ,$1.41 
7/1/2022,$4.70 ,$5.10 ,$2.76 ,$3.15 ,$5.19 ,$5.02 ,$4.80 , na,$5.48 ,$1.48 
